	R	Aninhado	Matlab	Pajek	BinMatNest	Ucinet	Netcarto	SocProg	NTC	JMP_SPSS	Netdraw	Undefined
Ancilloto	0	0	0	0	0	1	0	0	0	0	0	0
Andrade	1	0	0	0	0	0	0	0	0	0	0	0
Carter	1	0	0	0	0	0	0	0	1	0	0	0
Chaverri	0	0	0	1	0	1	0	1	0	0	1	0
Cisneros	0	0	1	0	0	0	0	0	0	0	0	0
Fortuna	0	1	0	0	0	0	0	0	0	0	0	0
Garcia	0	0	0	0	1	0	0	0	0	0	0	0
Johnson	0	0	0	0	0	1	0	0	0	0	0	0
Kerth	0	0	1	0	0	0	0	0	0	0	0	0
Loayza	0	0	0	0	0	0	0	0	1	0	0	0
Luis	1	0	0	0	0	0	0	0	0	0	0	0
Mello1	1	1	1	1	0	0	1	0	0	0	0	0
Mello2	1	1	0	1	0	0	0	0	0	0	0	0
Mello3	1	0	0	1	0	0	0	0	0	0	0	0
Meyer	0	0	0	0	1	0	0	0	0	0	0	0
Muylaert1	1	1	0	0	0	0	0	0	0	0	0	0
Muylaert2	0	1	0	0	0	0	0	0	0	0	0	0
Ortega	0	0	0	0	0	0	0	0	0	0	0	1
Patriquin	0	0	0	0	0	0	0	1	0	0	0	0
Patterson	0	0	0	0	1	0	0	0	0	0	0	0
Presley1	0	0	1	0	0	0	0	0	0	1	0	0
Presley2	1	0	0	0	0	0	0	0	0	0	0	0
Rhodes	0	0	0	0	0	0	0	0	0	0	0	1
Rosas	1	0	0	0	0	0	0	0	0	0	0	0
Sarmento	0	1	1	0	0	0	1	0	0	0	0	0
Struebig	0	0	0	0	1	0	0	0	0	0	0	0
Varzinczak	0	1	0	0	0	0	0	0	0	0	0	0
Webber	1	0	0	0	0	0	0	0	0	0	0	0
Zarazua	1	0	0	0	0	0	0	0	0	0	0	0
