Number	Reference	Reference2	Year	Phyllostomidae	Links	Links2	Nodes	Mode	Weight
1	Ancilloto	Ancilloto et al 2012	2012	No	Social interactions	Social, behavior	Newborn bats in their rearing groups	One-mode	Weighted
2	Andrade	Andrade et al 2013	2013	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Bats and plants. Unipartite projection with niche overlap of bats' diet.	Both	Weighted
3	Carter	Carter and Wilkinson 2016	2016	Yes	Social interactions	Social, behavior	20 Desmodus rotundus	One-mode	Both
4	Chaverri	Chaverri 2010	2010	No	Use of space	Social, shared roosts	Individuals of Thyriptera tricolor	One-mode	Binary
5	Cisneros	Cisneros et al 2014	2014	Yes	Metacommunities	Shared species in space	Bat species and sampled areas	Two-mode	Binary
6	Fortuna	Fortuna et al 2009	2009	No	Use of space	Social, shared roosts	Individual bats and trees, and trees unipartite projections	Both	Binary
7	Garcia	García-García et al 2014	2014	Yes	Metacommunities	Shared species in space	Bat species and sampled areas	Two-mode	Binary
8	Johnson	Johnson et al 2012	2012	No	Use of space	Social, shared roosts	Bats and tres used as day-roosts	Both	Both
9	Kerth	Kerth et al 2011	2011	No	Use of space	Social, shared roosts	Individuals of Myotis bechsteinii from two colonies (one with 11-18 bats, and other with 33-42 bats) along 150 bat boxes and 10 tree cavities	One-mode	Weighted
10	Loayza	Loayza and Loiselle 2009	2009	Yes	Metacommunities	Shared species in space	Bat species and sampled areas (Continuous forest and forest islands)	Two-mode	Binary
11	Luis	Luis et al 2015	2015	Yes	Host-pathogen interactions	Shared viruses	Bat and rodent host species	Both	Weighted
12	Mello1	Mello et al 2011a	2011	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Bats and plants	Two-mode	Binary
13	Mello2	Mello et al 2011b	2011	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Bats, Birds and Plants	One-mode	Binary
14	Mello3	Mello et al 2015	2015	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Bats, Birds and plants, and animals unipartite projections in 15 networks from Neotropics	Both	Binary
15	Meyer	Meyer and Kalko 2008	2008	Yes	Metacommunities	Shared species in space	20 Bat species and 11 islands	Two-mode	Both
16	Muylaert1	Muylaert et al 2013	2013	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Individual Sturnira lilium bats and plants	Two-mode	Weighted
17	Muylaert2	Muylaert et al 2016	2016	Yes	Metacommunities	Shared species in space	31 Bat species and 15 landscapes	Two-mode	Binary
18	Ortega	Ortega and Maldonado 2006 	2006	Yes	Social interactions	Social, behavior	Individual Artibeus jamaicensis bats in their respsective harem groups.	One-mode	Binary
19	Patriquin	Patriquin et al 2010	2010	No	Use of space	Social, shared roosts	Female individuals of Myotis septentrionalis	One-mode	Weighted
20	Patterson	Patterson et al 2009	2009	Yes	Host-pathogen interactions	Ectoparasite infestation	Individual bats and fly species	Two-mode	Binary
21	Presley1	Presley and Willig 2008	2008	Yes	Metacommunities	Shared species in space	Bat species and sampled areas	Two-mode	Binary
22	Presley2	Presley et al 2011	2011	Yes	Metacommunities	Shared species in space	Bat species and sampled areas	Two-mode	Binary
23	Rhodes	Rhodes et al 2006	2006	No	Use of space	Social, shared roosts	Trees used by bats.	One-mode	Binary
24	Rosas	Rosas-Guerrero et al 2014	2014	Yes	Mutualistic interactions	Pollination	Bats, bees, birds, wasps, flies, moths, beetles, and Plants	Two-mode	Weighted
25	Sarmento	Sarmento et al 2014	2014	Yes	Mutualistic interactions	Frugivory and Seed dispersal	Bats, Birds and Plants	Two-mode	Binary
26	Struebig	Struebig et al 2008	2008	No	Metacommunities	Shared species in space	Bat species and sampled areas	Two-mode	Binary
27	Varzinczak	Varzinczak et al 2015	2015	Yes	Metacommunities	Shared species in space	Species and sites and matrix of species co-occurrence	Two-mode	Binary
28	Webber	Webber et al 2016	2016	No	Use of space	Social, shared roosts	females of Eptesicus fuscus	One-mode	Weighted
29	Zarazua	Zarazua-Carbajal et al 2016	2016	Yes	Host-pathogen interactions	Ectoparasite infestation	Bat species and bat flies	Two-mode	Weighted
